geoid,theme,amount
24510280301,Prop_OneRace_Black,0.855715545
24510240300,Prop_OneRace_Black,0.046116505
24510250101,Prop_OneRace_Black,0.862382791
24510250102,Prop_OneRace_Black,0.919659385
24510250103,Prop_OneRace_Black,0.363278887
24510250203,Prop_OneRace_Black,0.943495401
24510240400,Prop_OneRace_Black,0.037906881
24510250204,Prop_OneRace_Black,0.988617886
24510060300,Prop_OneRace_Black,0.454718176
24510260800,Prop_OneRace_Black,0.272646536
24510080800,Prop_OneRace_Black,0.906285073
24510260900,Prop_OneRace_Black,0.059779277
24510230200,Prop_OneRace_Black,0.041709054
24510270501,Prop_OneRace_Black,0.472142297
24510160200,Prop_OneRace_Black,0.969382176
24510100100,Prop_OneRace_Black,0.971304819
24510130300,Prop_OneRace_Black,0.914385556
24510060100,Prop_OneRace_Black,0.543652919
24510130805,Prop_OneRace_Black,0.735700197
24510160100,Prop_OneRace_Black,0.960582171
24510130200,Prop_OneRace_Black,0.793642241
24510130400,Prop_OneRace_Black,0.944805195
24510130600,Prop_OneRace_Black,0.04374633
24510130700,Prop_OneRace_Black,0.102774923
24510130803,Prop_OneRace_Black,0.147722772
24510130804,Prop_OneRace_Black,0.069754464
24510080301,Prop_OneRace_Black,0.971780029
24510250205,Prop_OneRace_Black,0.716876388
24510150100,Prop_OneRace_Black,0.979502835
24510120400,Prop_OneRace_Black,0.741599073
24510270701,Prop_OneRace_Black,0.963946117
24510080700,Prop_OneRace_Black,0.968905473
24510010200,Prop_OneRace_Black,0.08008982
24510271801,Prop_OneRace_Black,0.965981013
24510150900,Prop_OneRace_Black,0.948029891
24510261000,Prop_OneRace_Black,0.481570997
24510260700,Prop_OneRace_Black,0.147876245
24510160300,Prop_OneRace_Black,0.919387755
24510060200,Prop_OneRace_Black,0.528013582
24510200702,Prop_OneRace_Black,0.960703206
24510260604,Prop_OneRace_Black,0.777276826
24510020300,Prop_OneRace_Black,0.059230953
24510280402,Prop_OneRace_Black,0.981335248
24510010100,Prop_OneRace_Black,0.048721493
24510010300,Prop_OneRace_Black,0.029140359
24510010400,Prop_OneRace_Black,0.050733753
24510010500,Prop_OneRace_Black,0.0499002
24510020100,Prop_OneRace_Black,0.09726637
24510020200,Prop_OneRace_Black,0.150750341
24510030100,Prop_OneRace_Black,0.785095321
24510160500,Prop_OneRace_Black,0.984357224
24510130806,Prop_OneRace_Black,0.195767196
24510140200,Prop_OneRace_Black,0.905669145
24510140300,Prop_OneRace_Black,0.932474227
24510150200,Prop_OneRace_Black,0.983174425
24510150300,Prop_OneRace_Black,0.984251969
24510150400,Prop_OneRace_Black,0.82404407
24510150500,Prop_OneRace_Black,0.967579251
24510150600,Prop_OneRace_Black,0.969492728
24510150701,Prop_OneRace_Black,0.97996243
24510150702,Prop_OneRace_Black,0.973635523
24510160600,Prop_OneRace_Black,0.978455285
24510271802,Prop_OneRace_Black,0.977229602
24510271900,Prop_OneRace_Black,0.756748274
24510151000,Prop_OneRace_Black,0.951458523
24510151100,Prop_OneRace_Black,0.969564425
24510150800,Prop_OneRace_Black,0.945345645
24510250206,Prop_OneRace_Black,0.300561798
24510250207,Prop_OneRace_Black,0.917288914
24510250301,Prop_OneRace_Black,0.902295782
24510250303,Prop_OneRace_Black,0.343125734
24510250401,Prop_OneRace_Black,0.378881988
24510250402,Prop_OneRace_Black,0.642105263
24510272003,Prop_OneRace_Black,0.248088209
24510280101,Prop_OneRace_Black,0.926623897
24510280102,Prop_OneRace_Black,0.964116719
24510280200,Prop_OneRace_Black,0.940010712
24510280302,Prop_OneRace_Black,0.94261477
24510030200,Prop_OneRace_Black,0.324753974
24510040100,Prop_OneRace_Black,0.366818105
24510040200,Prop_OneRace_Black,0.405594406
24510060400,Prop_OneRace_Black,0.545276873
24510070100,Prop_OneRace_Black,0.927765237
24510070200,Prop_OneRace_Black,0.932776452
24510070300,Prop_OneRace_Black,0.898034398
24510070400,Prop_OneRace_Black,0.716024341
24510250500,Prop_OneRace_Black,0.482835268
24510260101,Prop_OneRace_Black,0.751277288
24510260102,Prop_OneRace_Black,0.892139738
24510260201,Prop_OneRace_Black,0.882098899
24510280401,Prop_OneRace_Black,0.851478918
24510280403,Prop_OneRace_Black,0.728548789
24510280404,Prop_OneRace_Black,0.929130775
24510080101,Prop_OneRace_Black,0.751116784
24510080102,Prop_OneRace_Black,0.956521739
24510080200,Prop_OneRace_Black,0.961649089
24510080302,Prop_OneRace_Black,0.96244898
24510080400,Prop_OneRace_Black,0.965442765
24510080500,Prop_OneRace_Black,0.964257347
24510080600,Prop_OneRace_Black,0.980227681
24510090100,Prop_OneRace_Black,0.858506944
24510120202,Prop_OneRace_Black,0.107424072
24510272005,Prop_OneRace_Black,0.201523326
24510120201,Prop_OneRace_Black,0.16119578
24510272004,Prop_OneRace_Black,0.279584969
24510272006,Prop_OneRace_Black,0.475357247
24510280500,Prop_OneRace_Black,0.959318307
24510260202,Prop_OneRace_Black,0.926476264
24510260203,Prop_OneRace_Black,0.955492038
24510260301,Prop_OneRace_Black,0.943694862
24510260302,Prop_OneRace_Black,0.952174698
24510260401,Prop_OneRace_Black,0.058035714
24510260403,Prop_OneRace_Black,0.962116264
24510260501,Prop_OneRace_Black,0.201104972
24510090200,Prop_OneRace_Black,0.827108202
24510090300,Prop_OneRace_Black,0.705526533
24510090400,Prop_OneRace_Black,0.862715679
24510090500,Prop_OneRace_Black,0.786808794
24510090600,Prop_OneRace_Black,0.964360587
24510090700,Prop_OneRace_Black,0.965517241
24510260402,Prop_OneRace_Black,0.934764992
24510260404,Prop_OneRace_Black,0.415716096
24510090800,Prop_OneRace_Black,0.952914798
24510100200,Prop_OneRace_Black,0.953834414
24510120100,Prop_OneRace_Black,0.082098062
24510110100,Prop_OneRace_Black,0.234793983
24510110200,Prop_OneRace_Black,0.310898593
24510120300,Prop_OneRace_Black,0.53358209
24510120500,Prop_OneRace_Black,0.583829365
24510120600,Prop_OneRace_Black,0.509226541
24510280600,Prop_OneRace_Black,0.961220826
24510260605,Prop_OneRace_Black,0.298618888
24510261100,Prop_OneRace_Black,0.033648791
24510270101,Prop_OneRace_Black,0.516129032
24510270102,Prop_OneRace_Black,0.806290417
24510270200,Prop_OneRace_Black,0.457432432
24510270301,Prop_OneRace_Black,0.673091179
24510270302,Prop_OneRace_Black,0.542212518
24510270600,Prop_OneRace_Black,0.642360278
24510270401,Prop_OneRace_Black,0.781634446
24510270402,Prop_OneRace_Black,0.587525844
24510270502,Prop_OneRace_Black,0.609226933
24510151200,Prop_OneRace_Black,0.939165883
24510151300,Prop_OneRace_Black,0.958692422
24510160400,Prop_OneRace_Black,0.964216005
24510160700,Prop_OneRace_Black,0.984224797
24510160801,Prop_OneRace_Black,0.977312391
24510160802,Prop_OneRace_Black,0.9837237
24510270702,Prop_OneRace_Black,0.766570605
24510270801,Prop_OneRace_Black,0.885144622
24510270703,Prop_OneRace_Black,0.479917184
24510270802,Prop_OneRace_Black,0.952739726
24510271400,Prop_OneRace_Black,0.080351906
24510271501,Prop_OneRace_Black,0.136353078
24510120700,Prop_OneRace_Black,0.135818338
24510130100,Prop_OneRace_Black,0.878178835
24510170100,Prop_OneRace_Black,0.723279649
24510170200,Prop_OneRace_Black,0.933260394
24510170300,Prop_OneRace_Black,0.9556804
24510190200,Prop_OneRace_Black,0.656472262
24510190300,Prop_OneRace_Black,0.722811671
24510200100,Prop_OneRace_Black,0.983799705
24510200200,Prop_OneRace_Black,0.965942744
24510200300,Prop_OneRace_Black,0.784150156
24510200400,Prop_OneRace_Black,0.953288847
24510270803,Prop_OneRace_Black,0.918120066
24510270805,Prop_OneRace_Black,0.870757787
24510270901,Prop_OneRace_Black,0.965611354
24510270902,Prop_OneRace_Black,0.904748833
24510270804,Prop_OneRace_Black,0.472198821
24510271503,Prop_OneRace_Black,0.108935129
24510180300,Prop_OneRace_Black,0.657709533
24510190100,Prop_OneRace_Black,0.947930574
24510200500,Prop_OneRace_Black,0.731880385
24510200600,Prop_OneRace_Black,0.743488943
24510200701,Prop_OneRace_Black,0.980794528
24510200800,Prop_OneRace_Black,0.874863983
24510270903,Prop_OneRace_Black,0.61934316
24510271001,Prop_OneRace_Black,0.945284002
24510271002,Prop_OneRace_Black,0.954915807
24510271101,Prop_OneRace_Black,0.321650399
24510271102,Prop_OneRace_Black,0.105051665
24510271200,Prop_OneRace_Black,0.12302726
24510271300,Prop_OneRace_Black,0.113153595
24510210100,Prop_OneRace_Black,0.576804124
24510220100,Prop_OneRace_Black,0.154187958
24510230300,Prop_OneRace_Black,0.096180082
24510240100,Prop_OneRace_Black,0.041064854
24510210200,Prop_OneRace_Black,0.585794393
24510240200,Prop_OneRace_Black,0.039117352
24510271600,Prop_OneRace_Black,0.956388035
24510271700,Prop_OneRace_Black,0.938100821
24510230100,Prop_OneRace_Black,0.289652056
24510140100,Prop_OneRace_Black,0.333407721
